Date;Time;T;U;WW;c
20.03.2014 0:00;21:00;-1;58;Состояние неба в общем не изменилось. ;100%.
20.03.2014 0:00;18:00;-1,2;73; ;70 – 80%.
20.03.2014 0:00;15:00;0,6;56; ;10%  или менее, но не 0
20.03.2014 0:00;12:00;-0,6;64; ;20–30%.
20.03.2014 0:00;9:00;-4,2;94; ;Облаков нет.
20.03.2014 0:00;6:00;-6,7;93; ;20–30%.
20.03.2014 0:00;3:00;-5,3;87; ;20–30%.
20.03.2014 0:00;0:00;-3;88; ;70 – 80%.
21.03.2014 0:00;21:00;6,2;73;Облака в целом рассеиваются или становятся менее развитыми. ;10%  или менее, но не 0
21.03.2014 0:00;18:00;8,8;72;Состояние неба в общем не изменилось. ;90  или более, но не 100%
21.03.2014 0:00;15:00;9,8;62; ;90  или более, но не 100%
21.03.2014 0:00;12:00;7,8;68; ;90  или более, но не 100%
21.03.2014 0:00;9:00;4,3;85;Состояние неба в общем не изменилось. ;90  или более, но не 100%
21.03.2014 0:00;6:00;0,7;94;Состояние неба в общем не изменилось. ;100%.
21.03.2014 0:00;3:00;-2,4;94;Снег непрерывный слабый в срок наблюдения. ;100%.
21.03.2014 0:00;0:00;-1,3;63;Снег непрерывный слабый в срок наблюдения. ;100%.
22.03.2014 0:00;21:00;3,9;79; ;Облаков нет.
22.03.2014 0:00;18:00;7,8;62; ;40%.
22.03.2014 0:00;15:00;7,4;64; ;20–30%.
22.03.2014 0:00;12:00;6,3;74; ;Облаков нет.
22.03.2014 0:00;9:00;4,3;85; ;40%.
22.03.2014 0:00;6:00;4,1;82; ;40%.
22.03.2014 0:00;3:00;4,5;81; ;20–30%.
22.03.2014 0:00;0:00;6,8;71; ;Облаков нет.
23.03.2014 0:00;21:00;5,4;91;Состояние неба в общем не изменилось. ;100%.
23.03.2014 0:00;18:00;5,9;90;Состояние неба в общем не изменилось. ;100%.
23.03.2014 0:00;15:00;4,5;89;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;100%.
23.03.2014 0:00;12:00;2,7;88;Дождь незамерзающий непрерывный умеренный в срок наблюдения. ;100%.
23.03.2014 0:00;9:00;2,6;76; ;100%.
23.03.2014 0:00;6:00;2,3;81; ;50%.
23.03.2014 0:00;3:00;1,7;84; ;Облаков нет.
23.03.2014 0:00;0:00;3,1;81; ;Облаков нет.
24.03.2014 0:00;21:00;4,5;86; ;90  или более, но не 100%
24.03.2014 0:00;18:00;5,5;80; ;90  или более, но не 100%
24.03.2014 0:00;15:00;8,2;70; ;70 – 80%.
24.03.2014 0:00;12:00;4,9;81; ;90  или более, но не 100%
24.03.2014 0:00;9:00;2,5;95; ;100%.
24.03.2014 0:00;6:00;1,4;97; ;100%.
24.03.2014 0:00;3:00;1,3;97; ;100%.
24.03.2014 0:00;0:00;4,3;92; ;90  или более, но не 100%
25.03.2014 0:00;21:00;6;62; ;90  или более, но не 100%
25.03.2014 0:00;18:00;8,1;58; ;100%.
25.03.2014 0:00;15:00;8;62; ;100%.
25.03.2014 0:00;12:00;7;69; ;90  или более, но не 100%
25.03.2014 0:00;9:00;3,3;90; ;60%.
25.03.2014 0:00;6:00;0,3;94; ;70 – 80%.
25.03.2014 0:00;3:00;1,1;92; ;70 – 80%.
25.03.2014 0:00;0:00;2,6;89; ;70 – 80%.
26.03.2014 0:00;21:00;3,1;57; ;Облаков нет.
26.03.2014 0:00;18:00;6,9;47; ;Облаков нет.
26.03.2014 0:00;15:00;6,7;44; ;Облаков нет.
26.03.2014 0:00;12:00;4,9;48; ;Облаков нет.
26.03.2014 0:00;9:00;1,9;61; ;Облаков нет.
26.03.2014 0:00;6:00;0,9;65; ;Облаков нет.
26.03.2014 0:00;3:00;3,1;53; ;70 – 80%.
26.03.2014 0:00;0:00;4,8;55; ;70 – 80%.
27.03.2014 0:00;21:00;3,8;61; ;Облаков нет.
27.03.2014 0:00;18:00;6,2;58; ;90  или более, но не 100%
27.03.2014 0:00;15:00;5,1;50; ;60%.
27.03.2014 0:00;12:00;6,4;39; ;40%.
27.03.2014 0:00;9:00;3;43; ;Облаков нет.
27.03.2014 0:00;6:00;-0,1;66; ;Облаков нет.
27.03.2014 0:00;3:00;0;80; ;Облаков нет.
27.03.2014 0:00;0:00;1;72; ;Облаков нет.
28.03.2014 0:00;21:00;1,9;42; ;10%  или менее, но не 0
28.03.2014 0:00;18:00;3,8;38; ;Облаков нет.
28.03.2014 0:00;15:00;4;41; ;Облаков нет.
28.03.2014 0:00;12:00;3,6;56; ;40%.
28.03.2014 0:00;9:00;2,4;70; ;Облаков нет.
28.03.2014 0:00;6:00;1,8;68; ;Облаков нет.
28.03.2014 0:00;3:00;2,2;62; ;Облаков нет.
28.03.2014 0:00;0:00;2,8;54; ;Облаков нет.
29.03.2014 0:00;21:00;3,2;60; ;50%.
29.03.2014 0:00;18:00;5,6;40; ;Облаков нет.
29.03.2014 0:00;15:00;3,5;40; ;90  или более, но не 100%
