Date;Period;T;U;WW
14.09.2014;Ночь;9.5;1;6
14.09.2014;Утро;8.8;0.9;6
14.09.2014;День;9.4;0.9;2
14.09.2014;Вечер;8;1;6
15.09.2014;Ночь;7.9;1;6
15.09.2014;Утро;10.5;0.8;4
15.09.2014;День;14.5;0.5;4
15.09.2014;Вечер;9.9;0.7;4
16.09.2014;Ночь;6.8;0.9;4
16.09.2014;Утро;10.4;0.7;4
16.09.2014;День;14.3;0.4;4
16.09.2014;Вечер;9.7;0.7;4
17.09.2014;Ночь;3.9;0.9;4
17.09.2014;Утро;9.3;0.7;4
17.09.2014;День;11.5;0.5;4
17.09.2014;Вечер;7.1;0.8;6
18.09.2014;Ночь;6.8;0.8;6
18.09.2014;Утро;9.8;0.7;5
18.09.2014;День;13.2;0.5;4
18.09.2014;Вечер;7;0.8;4
19.09.2014;Ночь;5.1;0.9;5
19.09.2014;Утро;11.9;0.7;4
19.09.2014;День;18.7;0.5;4
19.09.2014;Вечер;12.2;0.7;4
20.09.2014;Ночь;6.5;0.9;4
20.09.2014;Утро;13.3;0.7;4
20.09.2014;День;19;0.4;4
20.09.2014;Вечер;11.9;0.7;4
21.09.2014;Ночь;5.4;0.9;1
21.09.2014;Утро;13.3;0.6;4
21.09.2014;День;18.2;0.3;4
21.09.2014;Вечер;11.3;0.6;4
22.09.2014;Ночь;5.4;0.9;4
22.09.2014;Утро;12.6;0.6;4
22.09.2014;День;17.6;0.3;4
22.09.2014;Вечер;15.3;0.4;4
23.09.2014;Ночь;10.7;0.5;4
23.09.2014;Утро;12.9;0.5;4
23.09.2014;День;17;0.5;4
23.09.2014;Вечер;15.2;0.5;4
24.09.2014;Ночь;10.9;0.8;3
24.09.2014;Утро;10.3;0.8;3
24.09.2014;День;7.8;0.9;6
24.09.2014;Вечер;4;0.9;3
25.09.2014;Ночь;4;0.9;3
25.09.2014;Утро;4.7;1;6
25.09.2014;День;7.7;0.9;6
25.09.2014;Вечер;4.9;1;5
26.09.2014;Ночь;2.4;1;1
26.09.2014;Утро;7.6;0.8;4
26.09.2014;День;14;0.6;4
26.09.2014;Вечер;8.4;0.9;6
27.09.2014;Ночь;4.5;1;1
27.09.2014;Утро;7.6;0.9;6
27.09.2014;День;12.9;0.7;5
27.09.2014;Вечер;10;0.9;6
28.09.2014;Ночь;5.6;1;4
28.09.2014;Утро;8.4;0.9;6
28.09.2014;День;13.4;0.6;4
28.09.2014;Вечер;10.8;0.7;4
29.09.2014;Ночь;9;0.9;4
29.09.2014;Утро;10.9;0.9;6
29.09.2014;День;12.7;0.7;5
29.09.2014;Вечер;10.9;0.9;6
30.09.2014;Ночь;10.6;0.9;4
30.09.2014;Утро;10.6;0.9;3
30.09.2014;День;10.2;0.7;5
30.09.2014;Вечер;7.3;0.9;6
01.10.2014;Ночь;6;0.8;6
01.10.2014;Утро;4.2;0.7;6
01.10.2014;День;5.4;0.6;6
01.10.2014;Вечер;4.9;0.6;4
02.10.2014;Ночь;1.9;0.8;4
02.10.2014;Утро;4.7;0.7;4
02.10.2014;День;8.3;0.5;4
02.10.2014;Вечер;3.4;0.7;4
03.10.2014;Ночь;0.9;0.9;4
03.10.2014;Утро;4.2;0.8;6
03.10.2014;День;8.9;0.7;6
03.10.2014;Вечер;8.3;0.8;6
04.10.2014;Ночь;6.8;0.9;6
04.10.2014;Утро;6.9;0.8;6
04.10.2014;День;7.7;0.6;5
04.10.2014;Вечер;3.6;0.8;6
05.10.2014;Ночь;3.2;0.9;6
05.10.2014;Утро;3.6;0.9;2
05.10.2014;День;4.3;0.9;6
05.10.2014;Вечер;3.4;1;6
06.10.2014;Ночь;2.6;0.9;4
06.10.2014;Утро;4.3;0.9;4
06.10.2014;День;6.8;0.7;4
06.10.2014;Вечер;2.7;0.8;4
07.10.2014;Ночь;-2;0.9;5
07.10.2014;Утро;2.9;0.8;6
07.10.2014;День;5.1;0.6;6
07.10.2014;Вечер;-0.3;0.9;1
08.10.2014;Ночь;-3.8;0.9;1
08.10.2014;Утро;2.3;0.7;4
08.10.2014;День;8.4;0.5;4
08.10.2014;Вечер;5.4;0.6;4
09.10.2014;Ночь;3.4;0.7;4
09.10.2014;Утро;6.5;0.6;4
09.10.2014;День;10.3;0.5;4
09.10.2014;Вечер;8.6;0.7;3
10.10.2014;Ночь;9.3;0.6;6
10.10.2014;Утро;9.6;0.7;6
10.10.2014;День;13.7;0.7;4
10.10.2014;Вечер;14.7;0.6;4
11.10.2014;Ночь;12.8;0.7;6
11.10.2014;Утро;13.8;0.8;5
11.10.2014;День;16.2;0.7;4
11.10.2014;Вечер;11.7;0.9;1
12.10.2014;Ночь;7.9;1;1
12.10.2014;Утро;10.5;0.9;1
12.10.2014;День;12.1;0.9;3
12.10.2014;Вечер;10.7;1;1
13.10.2014;Ночь;11.6;0.9;1
13.10.2014;Утро;12.9;0.8;6
13.10.2014;День;15.4;0.7;6
13.10.2014;Вечер;11.2;0.8;4
14.10.2014;Ночь;7.7;0.9;6
14.10.2014;Утро;8.4;0.8;4
14.10.2014;День;9.2;0.8;6
14.10.2014;Вечер;8.6;0.9;3
15.10.2014;Ночь;7.8;0.9;1
15.10.2014;Утро;7.2;1;1
15.10.2014;День;7.7;1;6
15.10.2014;Вечер;6.7;1;1
16.10.2014;Ночь;5;1;2
16.10.2014;Утро;3.2;1;2
16.10.2014;День;2;1;3
16.10.2014;Вечер;1.4;1;2
17.10.2014;Ночь;1;1;6
17.10.2014;Утро;0.8;0.9;2
17.10.2014;День;-0.3;1;2
17.10.2014;Вечер;-1.2;0.9;2
18.10.2014;Ночь;-2;0.9;6
18.10.2014;Утро;-2.1;0.8;6
18.10.2014;День;-2.2;0.8;6
18.10.2014;Вечер;-4.1;0.8;4
19.10.2014;Ночь;-7.7;0.9;4
19.10.2014;Утро;-3.5;0.7;4
19.10.2014;День;1.1;0.5;4
19.10.2014;Вечер;-0.3;0.7;2
20.10.2014;Ночь;-1.2;0.9;2
20.10.2014;Утро;0.9;1;3
20.10.2014;День;2;0.9;3
20.10.2014;Вечер;1.6;1;2
21.10.2014;Ночь;1.2;1;3
21.10.2014;Утро;1.4;1;2
21.10.2014;День;0.8;0.9;6
21.10.2014;Вечер;-2.8;0.9;6
22.10.2014;Ночь;-5.5;0.8;2
22.10.2014;Утро;-6;0.8;2
22.10.2014;День;-5.9;0.8;6
22.10.2014;Вечер;-7.9;0.8;2
23.10.2014;Ночь;-10.8;0.8;2
23.10.2014;Утро;-10.7;0.8;2
23.10.2014;День;-6.5;0.6;5
23.10.2014;Вечер;-7.1;0.8;2
24.10.2014;Ночь;-5.6;0.9;6
24.10.2014;Утро;-4.3;0.8;6
24.10.2014;День;-2.8;0.6;4
24.10.2014;Вечер;-7.3;0.8;4
25.10.2014;Ночь;-11.1;0.9;4
25.10.2014;Утро;-7.5;0.7;4
25.10.2014;День;-2.9;0.5;4
25.10.2014;Вечер;-3.4;0.6;4
26.10.2014;Ночь;-5.8;0.7;4
26.10.2014;Утро;-3.5;0.7;4
26.10.2014;День;0.9;0.5;4
26.10.2014;Вечер;-1.1;0.5;4
27.10.2014;Ночь;-0.5;0.5;6
27.10.2014;Утро;1.2;0.5;4
27.10.2014;День;5.6;0.4;4
27.10.2014;Вечер;4.9;0.5;6
28.10.2014;Ночь;4;0.4;6
28.10.2014;Утро;5.2;0.5;6
28.10.2014;День;8.5;0.6;4
28.10.2014;Вечер;7.1;0.7;4
29.10.2014;Ночь;5.3;0.7;4
29.10.2014;Утро;6.4;0.5;4
29.10.2014;День;11.2;0.3;4
29.10.2014;Вечер;6.1;0.3;4
30.10.2014;Ночь;0.3;0.5;4
30.10.2014;Утро;2.5;0.5;5
30.10.2014;День;6.3;0.5;5
30.10.2014;Вечер;1.9;0.6;1
31.10.2014;Ночь;0.4;0.7;1
31.10.2014;Утро;2.2;0.8;6
31.10.2014;День;2;0.8;6
31.10.2014;Вечер;1.6;0.8;6
01.11.2014;Ночь;1.2;0.9;6
01.11.2014;Утро;1.9;0.9;6
01.11.2014;День;1;0.8;6
01.11.2014;Вечер;-1.6;0.7;6
02.11.2014;Ночь;-2.8;0.8;2
02.11.2014;Утро;-2.1;0.8;4
02.11.2014;День;-1.1;0.7;6
02.11.2014;Вечер;-2.9;0.7;4
03.11.2014;Ночь;-2.2;0.7;4
03.11.2014;Утро;-1.5;0.9;3
03.11.2014;День;-0.1;1;3
03.11.2014;Вечер;0.1;1;1
04.11.2014;Ночь;-0.2;0.9;1
04.11.2014;Утро;0.3;0.9;1
04.11.2014;День;3.3;0.9;1
04.11.2014;Вечер;1.9;0.9;1
05.11.2014;Ночь;1;0.9;1
05.11.2014;Утро;1.7;0.9;1
05.11.2014;День;3;0.9;1
05.11.2014;Вечер;3.7;1;1
06.11.2014;Ночь;4;0.9;1
06.11.2014;Утро;4.2;0.9;1
06.11.2014;День;5;0.9;1
06.11.2014;Вечер;4.8;0.9;1
07.11.2014;Ночь;4;0.9;1
07.11.2014;Утро;4.3;1;3
07.11.2014;День;5.8;1;3
07.11.2014;Вечер;7;0.9;1
08.11.2014;Ночь;6.9;0.9;1
08.11.2014;Утро;6.5;1;6
08.11.2014;День;8;0.9;6
08.11.2014;Вечер;6.8;0.9;6
09.11.2014;Ночь;3.1;0.9;6
09.11.2014;Утро;4;0.8;6
09.11.2014;День;4.5;0.8;3
09.11.2014;Вечер;3.1;1;3
10.11.2014;Ночь;1.4;0.9;4
10.11.2014;Утро;1.6;0.9;1
10.11.2014;День;3.4;0.9;4
10.11.2014;Вечер;2.6;0.9;6
11.11.2014;Ночь;3.5;1;2
11.11.2014;Утро;4.6;1;2
11.11.2014;День;4.5;0.9;6
11.11.2014;Вечер;3.9;0.9;6
12.11.2014;Ночь;5.1;0.9;6
12.11.2014;Утро;5;0.8;6
12.11.2014;День;5;0.8;6
12.11.2014;Вечер;5;0.8;6
13.11.2014;Ночь;4.2;0.9;1
13.11.2014;Утро;4.8;0.9;1
13.11.2014;День;5;0.8;1
13.11.2014;Вечер;4.2;0.9;1
14.11.2014;Ночь;3.8;0.9;1
14.11.2014;Утро;3.4;0.9;6
14.11.2014;День;1.8;0.9;6
14.11.2014;Вечер;-0.8;0.9;6
15.11.2014;Ночь;-0.9;0.9;6
15.11.2014;Утро;-0.5;0.9;6
15.11.2014;День;0;0.8;6
15.11.2014;Вечер;-0.9;0.8;6
16.11.2014;Ночь;-2.5;0.7;6
16.11.2014;Утро;-4.5;0.7;6
16.11.2014;День;-5;0.7;6
16.11.2014;Вечер;-4.2;0.7;6
17.11.2014;Ночь;-4.8;0.8;6
17.11.2014;Утро;-5;0.8;2
17.11.2014;День;-5.7;0.7;6
17.11.2014;Вечер;-5.6;0.8;6
18.11.2014;Ночь;-4.6;0.8;6
18.11.2014;Утро;-3.6;0.9;6
18.11.2014;День;-2.8;0.7;6
18.11.2014;Вечер;-5.7;0.7;4
19.11.2014;Ночь;-9.9;0.9;4
19.11.2014;Утро;-7.4;0.8;1
19.11.2014;День;-3.9;0.7;4
19.11.2014;Вечер;-8.7;0.9;1
20.11.2014;Ночь;-11.8;0.9;1
20.11.2014;Утро;-10.5;0.9;1
20.11.2014;День;-5.1;0.8;1
20.11.2014;Вечер;-9.3;0.9;1
21.11.2014;Ночь;-10.4;0.9;1
21.11.2014;Утро;-7.4;0.9;1
21.11.2014;День;-2.4;0.6;1
21.11.2014;Вечер;-4.9;0.8;1
22.11.2014;Ночь;-7.6;0.9;5
22.11.2014;Утро;-4.2;0.7;4
22.11.2014;День;-0.8;0.6;4
22.11.2014;Вечер;-4;0.8;4
23.11.2014;Ночь;-7.2;0.8;4
23.11.2014;Утро;-5.1;0.7;4
23.11.2014;День;-1.3;0.8;4
23.11.2014;Вечер;-2;0.9;2
24.11.2014;Ночь;-2;0.9;2
24.11.2014;Утро;-2.5;0.9;1
24.11.2014;День;-2;0.9;6
24.11.2014;Вечер;-2;0.9;6
25.11.2014;Ночь;-2.8;0.9;6
25.11.2014;Утро;-4;0.9;6
25.11.2014;День;-4.5;0.9;6
25.11.2014;Вечер;-5;1;1
26.11.2014;Ночь;-5.9;1;2
26.11.2014;Утро;-6.5;1;2
26.11.2014;День;-6.6;1;2
26.11.2014;Вечер;-7;1;2
27.11.2014;Ночь;-7;0.9;2
27.11.2014;Утро;-6.9;0.9;2
27.11.2014;День;-7;0.9;1
27.11.2014;Вечер;-8;0.9;2
28.11.2014;Ночь;-11.1;0.9;1
28.11.2014;Утро;-9.7;0.9;1
28.11.2014;День;-7.4;0.8;5
28.11.2014;Вечер;-9.2;0.9;6
29.11.2014;Ночь;-11.5;0.9;5
29.11.2014;Утро;-11.1;0.9;6
29.11.2014;День;-9.4;0.9;5
29.11.2014;Вечер;-11.4;0.9;1
30.11.2014;Ночь;-13.3;0.9;1
30.11.2014;Утро;-11.2;0.9;6
30.11.2014;День;-8;0.9;1
30.11.2014;Вечер;-9.9;0.9;6
01.12.2014;Ночь;-13.4;0.9;1
01.12.2014;Утро;-7.8;0.9;2
01.12.2014;День;-5.6;0.9;2
01.12.2014;Вечер;-5.3;0.9;2
02.12.2014;Ночь;-7.2;0.9;2
02.12.2014;Утро;-9;0.9;2
02.12.2014;День;-10.2;0.9;2
02.12.2014;Вечер;-12.9;0.9;4
03.12.2014;Ночь;-11.5;0.9;4
03.12.2014;Утро;-7.5;0.8;4
03.12.2014;День;-4.5;0.6;4
03.12.2014;Вечер;-4.4;0.7;6
04.12.2014;Ночь;-6.3;0.8;4
04.12.2014;Утро;-6.5;0.8;4
04.12.2014;День;-4.4;0.9;6
04.12.2014;Вечер;-3.8;0.9;6
05.12.2014;Ночь;-1.4;0.9;6
05.12.2014;Утро;-0.6;0.9;6
05.12.2014;День;-1.1;0.9;6
05.12.2014;Вечер;-3.9;1;6
06.12.2014;Ночь;-4;0.9;6
06.12.2014;Утро;-5;0.9;6
06.12.2014;День;-4.6;0.9;6
06.12.2014;Вечер;-4.3;0.9;2
07.12.2014;Ночь;-5.1;0.9;2
07.12.2014;Утро;-5;0.9;1
07.12.2014;День;-4.2;0.9;1
07.12.2014;Вечер;-3.2;0.9;1
08.12.2014;Ночь;-6.1;0.9;1
08.12.2014;Утро;-6.7;0.9;1
08.12.2014;День;-4.5;0.9;2
08.12.2014;Вечер;-4;0.9;2
09.12.2014;Ночь;-4;1;1
09.12.2014;Утро;-3.8;0.9;6
09.12.2014;День;-3;0.9;6
09.12.2014;Вечер;-3;0.9;6
10.12.2014;Ночь;-3.4;1;1
10.12.2014;Утро;-3.3;1;2
10.12.2014;День;-2.6;0.9;2
10.12.2014;Вечер;-2.2;1;2
11.12.2014;Ночь;-1.6;1;2
11.12.2014;Утро;-0.4;1;1
11.12.2014;День;-0.1;1;1
11.12.2014;Вечер;-1.7;1;1
12.12.2014;Ночь;-2.7;1;2
12.12.2014;Утро;-3;1;2
12.12.2014;День;-2.1;1;2
12.12.2014;Вечер;-0.4;1;2
13.12.2014;Ночь;-0.1;0.9;6
13.12.2014;Утро;0.3;0.9;6
13.12.2014;День;0.7;0.9;2
13.12.2014;Вечер;2;0.9;6
14.12.2014;Ночь;2;0.9;6
14.12.2014;Утро;2;0.9;6
14.12.2014;День;2;0.9;6
14.12.2014;Вечер;1.9;0.9;6
15.12.2014;Ночь;0.1;0.9;4
15.12.2014;Утро;-0.4;0.9;6
15.12.2014;День;0.2;0.8;6
15.12.2014;Вечер;0.2;0.9;2
16.12.2014;Ночь;0.4;1;1
16.12.2014;Утро;1.1;1;1
16.12.2014;День;1.8;0.9;1
16.12.2014;Вечер;2;0.9;1
17.12.2014;Ночь;1.1;1;1
17.12.2014;Утро;0.8;1;1
17.12.2014;День;2.4;0.9;3
17.12.2014;Вечер;1.8;0.9;3
18.12.2014;Ночь;0.5;1;2
18.12.2014;Утро;1;0.9;6
18.12.2014;День;1;0.9;2
18.12.2014;Вечер;0.9;0.9;2
19.12.2014;Ночь;0;0.9;2
19.12.2014;Утро;0;0.9;2
19.12.2014;День;0;0.9;2
19.12.2014;Вечер;0.9;1;2
20.12.2014;Ночь;2.9;1;3
20.12.2014;Утро;3.8;1;3
20.12.2014;День;3.1;0.9;5
20.12.2014;Вечер;1.9;0.9;6
21.12.2014;Ночь;1.1;0.9;2
21.12.2014;Утро;1.3;0.9;2
21.12.2014;День;1.3;0.9;6
21.12.2014;Вечер;1;0.9;6
22.12.2014;Ночь;-1;0.9;2
22.12.2014;Утро;-1.6;0.8;2
22.12.2014;День;-1.2;0.8;4
22.12.2014;Вечер;-2.8;0.8;4
23.12.2014;Ночь;-1.8;0.9;2
23.12.2014;Утро;0.2;1;2
23.12.2014;День;1;0.9;2
23.12.2014;Вечер;-1.3;0.9;2
24.12.2014;Ночь;-4.5;0.9;2
24.12.2014;Утро;-5;0.8;2
24.12.2014;День;-5.8;0.8;2
24.12.2014;Вечер;-7.2;0.8;6
25.12.2014;Ночь;-8.5;0.9;6
25.12.2014;Утро;-8;0.9;2
25.12.2014;День;-8.4;0.9;2
25.12.2014;Вечер;-10.5;0.8;2
26.12.2014;Ночь;-11.8;0.8;2
26.12.2014;Утро;-12.6;0.9;4
26.12.2014;День;-11.9;0.8;2
26.12.2014;Вечер;-10.3;0.9;6
27.12.2014;Ночь;-7.7;0.9;6
27.12.2014;Утро;-7;0.9;6
27.12.2014;День;-7.8;0.9;6
27.12.2014;Вечер;-11.1;0.9;4
28.12.2014;Ночь;-12.4;0.9;1
28.12.2014;Утро;-10.2;0.9;6
28.12.2014;День;-10.7;0.9;6
28.12.2014;Вечер;-12;0.9;2
29.12.2014;Ночь;-14.7;0.9;2
29.12.2014;Утро;-16.6;0.8;4
29.12.2014;День;-15.7;0.8;4
29.12.2014;Вечер;-15.6;0.9;5
30.12.2014;Ночь;-16.7;0.9;4
30.12.2014;Утро;-17.1;0.9;4
30.12.2014;День;-15.4;0.8;5
30.12.2014;Вечер;-16.9;0.9;4
31.12.2014;Ночь;-19.6;0.9;4
31.12.2014;Утро;-16.2;0.8;4
31.12.2014;День;-9.6;0.9;2
31.12.2014;Вечер;-7.3;0.9;2
01.01.2015;Ночь;-5.2;1;2
01.01.2015;Утро;-3.6;1;2
01.01.2015;День;-0.8;1;2
01.01.2015;Вечер;0.4;1;3
02.01.2015;Ночь;0.6;1;6
02.01.2015;Утро;0.7;1;2
02.01.2015;День;1;1;6
02.01.2015;Вечер;1;1;2
03.01.2015;Ночь;1.9;0.9;2
03.01.2015;Утро;1.9;0.9;6
03.01.2015;День;1;0.9;6
03.01.2015;Вечер;1.1;0.9;2
04.01.2015;Ночь;0.6;0.9;2
04.01.2015;Утро;0;1;2
04.01.2015;День;0;0.9;2
04.01.2015;Вечер;-1.2;1;2
05.01.2015;Ночь;-5.5;0.8;2
05.01.2015;Утро;-9;0.8;2
05.01.2015;День;-11.4;0.8;2
05.01.2015;Вечер;-16.3;0.8;2
06.01.2015;Ночь;-18.5;0.8;2
06.01.2015;Утро;-19.8;0.7;4
06.01.2015;День;-18.2;0.7;4
06.01.2015;Вечер;-20;0.8;4
07.01.2015;Ночь;-21.4;0.8;4
07.01.2015;Утро;-20.5;0.8;4
07.01.2015;День;-18.2;0.8;4
07.01.2015;Вечер;-19.4;0.9;4
08.01.2015;Ночь;-18;0.8;4
08.01.2015;Утро;-14.4;0.8;4
08.01.2015;День;-10.4;0.7;4
08.01.2015;Вечер;-9.8;0.8;2
09.01.2015;Ночь;-8.5;0.8;2
09.01.2015;Утро;-8;0.9;2
09.01.2015;День;-7.6;0.9;2
09.01.2015;Вечер;-9.3;0.9;2
10.01.2015;Ночь;-8.8;0.9;2
10.01.2015;Утро;-6.5;0.9;2
10.01.2015;День;-3.9;0.9;6
10.01.2015;Вечер;-1.7;0.9;2
11.01.2015;Ночь;-1;0.8;6
11.01.2015;Утро;-2.3;0.9;2
11.01.2015;День;-1.1;0.9;2
11.01.2015;Вечер;0.7;1;2
12.01.2015;Ночь;0.5;0.9;2
12.01.2015;Утро;0.2;0.9;6
12.01.2015;День;-0.3;0.9;2
12.01.2015;Вечер;-2.8;0.9;2
13.01.2015;Ночь;-5.5;0.9;6
13.01.2015;Утро;-3.9;0.9;2
13.01.2015;День;1.4;0.9;6
13.01.2015;Вечер;1.8;0.9;6
14.01.2015;Ночь;0.8;0.9;6
14.01.2015;Утро;1.7;1;2
14.01.2015;День;2.9;0.9;6
14.01.2015;Вечер;2.4;1;6
15.01.2015;Ночь;2;0.9;3
15.01.2015;Утро;2;0.9;2
15.01.2015;День;1.5;0.8;6
15.01.2015;Вечер;0.2;0.9;6
16.01.2015;Ночь;-1.6;0.9;6
16.01.2015;Утро;-0.5;0.8;6
16.01.2015;День;-0.2;0.7;4
16.01.2015;Вечер;-0.4;0.8;4
17.01.2015;Ночь;-0.2;0.8;6
17.01.2015;Утро;0;0.9;6
17.01.2015;День;0;0.9;6
17.01.2015;Вечер;-0.4;0.9;6
18.01.2015;Ночь;-1;0.9;6
18.01.2015;Утро;-0.1;0.9;2
18.01.2015;День;1;0.8;6
18.01.2015;Вечер;0.5;0.9;6
19.01.2015;Ночь;-1.5;0.8;6
19.01.2015;Утро;-3.3;0.8;4
19.01.2015;День;0.5;0.8;6
19.01.2015;Вечер;0;0.9;6
20.01.2015;Ночь;-1.3;0.9;6
20.01.2015;Утро;-3.2;0.9;6
20.01.2015;День;-5.2;0.7;5
20.01.2015;Вечер;-12;0.7;4
21.01.2015;Ночь;-15.8;0.9;4
21.01.2015;Утро;-13.5;0.9;2
21.01.2015;День;-12;0.9;4
21.01.2015;Вечер;-16.4;0.9;5
22.01.2015;Ночь;-17.4;0.9;1
22.01.2015;Утро;-16.9;0.9;1
22.01.2015;День;-11.4;0.9;1
22.01.2015;Вечер;-10.6;0.9;1
23.01.2015;Ночь;-7.9;0.9;2
23.01.2015;Утро;-6.1;0.9;2
23.01.2015;День;-4.3;0.9;6
23.01.2015;Вечер;-3.6;0.9;2
24.01.2015;Ночь;-2.7;1;2
24.01.2015;Утро;-0.8;0.9;2
24.01.2015;День;0;1;2
24.01.2015;Вечер;-0.7;1;2
25.01.2015;Ночь;-2.3;0.9;6
25.01.2015;Утро;-5.1;0.8;4
25.01.2015;День;-7.5;0.7;4
25.01.2015;Вечер;-11.6;0.8;4
26.01.2015;Ночь;-11.6;0.8;2
26.01.2015;Утро;-11.1;0.8;2
26.01.2015;День;-9.2;0.8;2
26.01.2015;Вечер;-9.9;0.8;2
27.01.2015;Ночь;-8.7;0.9;2
27.01.2015;Утро;-7.4;0.9;2
27.01.2015;День;-6;0.9;6
27.01.2015;Вечер;-6;0.9;2
28.01.2015;Ночь;-6;0.9;2
28.01.2015;Утро;-5.2;0.9;6
28.01.2015;День;-4.2;0.8;4
28.01.2015;Вечер;-4.1;0.9;6
29.01.2015;Ночь;-3.1;0.9;6
29.01.2015;Утро;-2.9;0.9;2
29.01.2015;День;-2.1;0.9;6
29.01.2015;Вечер;-2;0.9;2
30.01.2015;Ночь;-2.2;0.9;2
30.01.2015;Утро;-1;0.9;6
30.01.2015;День;-1.1;0.9;2
30.01.2015;Вечер;-3.6;0.9;6
31.01.2015;Ночь;-4;0.9;2
31.01.2015;Утро;-2.6;0.9;2
31.01.2015;День;1.8;0.9;1
31.01.2015;Вечер;1.1;0.9;3
01.02.2015;Ночь;1.3;0.9;2
01.02.2015;Утро;2.1;0.8;6
01.02.2015;День;1.7;0.7;6
01.02.2015;Вечер;-0.2;0.7;4
02.02.2015;Ночь;-4;0.9;6
02.02.2015;Утро;-3.2;0.9;1
02.02.2015;День;-0.6;0.8;4
02.02.2015;Вечер;-2.6;0.8;4
03.02.2015;Ночь;-6.3;0.9;1
03.02.2015;Утро;-4.9;0.9;6
03.02.2015;День;-3;0.9;2
03.02.2015;Вечер;-3.8;0.9;2
04.02.2015;Ночь;-4.8;0.9;2
04.02.2015;Утро;-5;0.9;6
04.02.2015;День;-5;0.9;6
