Date;Period;T;U;WW
20.03.2014;Ночь;-5;0.9;4.0
20.03.2014;Утро;-4;0.8;4.0
20.03.2014;День;-2;0.6;4.0
20.03.2014;Вечер;-1;0.6;4.0
21.03.2014;Ночь;-1;0.9;2.0
21.03.2014;Утро;-1;0.8;4.0
21.03.2014;День;-1;0.7;4.0
21.03.2014;Вечер;-1;0.7;4.0
22.03.2014;Ночь;-1;0.8;4.0
22.03.2014;Утро;-1;0.8;4.0
22.03.2014;День;-1;0.6;4.0
22.03.2014;Вечер;-1;0.8;4.0
23.03.2014;Ночь;-1;0.8;4.0
23.03.2014;Утро;-1;0.8;3.0
23.03.2014;День;-1;0.9;3.0
23.03.2014;Вечер;-1;0.9;4.0
24.03.2014;Ночь;-1;1.0;4.0
24.03.2014;Утро;-1;0.9;4.0
24.03.2014;День;-1;0.8;4.0
24.03.2014;Вечер;-1;0.9;4.0
25.03.2014;Ночь;-1;0.9;4.0
25.03.2014;Утро;7;0.8;4.0
25.03.2014;День;8;0.6;4.0
25.03.2014;Вечер;6;0.6;4.0
26.03.2014;Ночь;6;0.6;4.0
26.03.2014;Утро;6;0.5;4.0
26.03.2014;День;6;0.5;4.0
26.03.2014;Вечер;6;0.6;4.0
27.03.2014;Ночь;0;0.7;4.0
27.03.2014;Утро;3;0.4;4.0
27.03.2014;День;3;0.5;4.0
27.03.2014;Вечер;3;0.6;4.0
28.03.2014;Ночь;3;0.6;4.0
28.03.2014;Утро;3;0.6;4.0
28.03.2014;День;4;0.4;4.0
28.03.2014;Вечер;4;0.4;4.0
29.03.2014;Ночь;0;0.6;4.0
29.03.2014;Утро;0;0.6;4.0
29.03.2014;День;0;0.4;4.0
29.03.2014;Вечер;0;0.6;4.0
30.03.2014;Ночь;0;0.8;4.0
30.03.2014;Утро;0;0.8;4.0
30.03.2014;День;6;0.6;4.0
30.03.2014;Вечер;3;0.7;4.0
31.03.2014;Ночь;3;0.6;4.0
31.03.2014;Утро;3;0.6;4.0
31.03.2014;День;1;0.4;2.0
31.03.2014;Вечер;1;0.4;4.0
01.04.2014;Ночь;1;0.5;4.0
01.04.2014;Утро;1;0.5;4.0
01.04.2014;День;1;0.6;4.0
01.04.2014;Вечер;1;0.9;2.0
02.04.2014;Ночь;-3;0.7;4.0
02.04.2014;Утро;-3;0.6;4.0
02.04.2014;День;-3;0.5;4.0
02.04.2014;Вечер;-3;0.6;4.0
03.04.2014;Ночь;-3;0.8;4.0
03.04.2014;Утро;-3;0.8;4.0
03.04.2014;День;-3;0.7;4.0
03.04.2014;Вечер;-3;0.9;4.0
04.04.2014;Ночь;-3;0.8;4.0
04.04.2014;Утро;-3;0.6;2.0
04.04.2014;День;-3;0.5;2.0
04.04.2014;Вечер;-3;0.7;4.0
05.04.2014;Ночь;-1;0.8;4.0
05.04.2014;Утро;-1;0.7;4.0
05.04.2014;День;-1;0.5;4.0
05.04.2014;Вечер;-1;0.7;4.0
06.04.2014;Ночь;-1;0.7;4.0
06.04.2014;Утро;-1;0.7;3.0
06.04.2014;День;-1;0.9;3.0
06.04.2014;Вечер;-1;1.0;4.0
07.04.2014;Ночь;0;0.8;4.0
07.04.2014;Утро;0;0.6;4.0
07.04.2014;День;0;0.4;4.0
07.04.2014;Вечер;0;0.5;4.0
08.04.2014;Ночь;-1;0.8;4.0
08.04.2014;Утро;5;0.5;4.0
08.04.2014;День;5;0.3;4.0
08.04.2014;Вечер;5;0.3;4.0
09.04.2014;Ночь;-1;0.5;4.0
09.04.2014;Утро;-1;0.4;4.0
09.04.2014;День;3;0.4;4.0
09.04.2014;Вечер;3;0.5;4.0
10.04.2014;Ночь;3;0.6;4.0
10.04.2014;Утро;3;0.4;4.0
10.04.2014;День;3;0.3;4.0
10.04.2014;Вечер;5;0.3;4.0
11.04.2014;Ночь;5;0.4;4.0
11.04.2014;Утро;5;0.4;4.0
11.04.2014;День;5;0.3;4.0
11.04.2014;Вечер;5;0.4;4.0
12.04.2014;Ночь;5;0.5;4.0
12.04.2014;Утро;5;0.7;3.0
12.04.2014;День;5;0.8;2.0
12.04.2014;Вечер;5;0.8;4.0
13.04.2014;Ночь;5;0.8;4.0
13.04.2014;Утро;10;0.7;4.0
13.04.2014;День;10;0.6;4.0
13.04.2014;Вечер;10;0.9;3.0
14.04.2014;Ночь;7;0.9;4.0
14.04.2014;Утро;7;0.8;4.0
14.04.2014;День;7;0.7;3.0
14.04.2014;Вечер;7;0.8;4.0
15.04.2014;Ночь;7;0.8;4.0
15.04.2014;Утро;7;0.8;4.0
15.04.2014;День;7;0.7;4.0
15.04.2014;Вечер;7;0.7;4.0
16.04.2014;Ночь;7;0.8;4.0
16.04.2014;Утро;7;0.5;4.0
16.04.2014;День;7;0.4;4.0
16.04.2014;Вечер;7;0.6;4.0
17.04.2014;Ночь;7;0.7;4.0
17.04.2014;Утро;7;0.4;4.0
17.04.2014;День;7;0.4;4.0
17.04.2014;Вечер;7;0.4;4.0
18.04.2014;Ночь;7;0.5;4.0
18.04.2014;Утро;7;0.4;4.0
18.04.2014;День;7;0.3;4.0
18.04.2014;Вечер;7;0.4;4.0
19.04.2014;Ночь;4;0.7;4.0
19.04.2014;Утро;4;0.6;4.0
19.04.2014;День;4;0.4;4.0
19.04.2014;Вечер;4;0.5;4.0
20.04.2014;Ночь;4;0.8;4.0
20.04.2014;Утро;8;0.6;4.0
20.04.2014;День;8;0.5;4.0
20.04.2014;Вечер;8;0.5;4.0
21.04.2014;Ночь;8;0.7;4.0
21.04.2014;Утро;8;0.5;4.0
21.04.2014;День;8;0.4;4.0
21.04.2014;Вечер;8;0.4;4.0
